DATA PUBLICAÇÃO;EDITORIA/COLUNISTA;FORMATO;ATIVIDADE;LINK MATERIA;NOME;;
04/03/2024;TV;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/especiais/quiz-filme-sessao-da-tarde-2024/index.html?EW=700&EH=500&EI=EnterIframeMan_1709577417219_04379002871939188&chamador=https://gauchazh.clicrbs.com.br/cultura-e-lazer/tv/noticia/2024/03/quiz-com-qual-classico-da-sessao-da-tarde-voce-mais-se-identifica-cltd9h3et005u0161uawc4hh9.html;"Com qual clássico da ""Sessão da Tarde"" você mais se identifica?";;
04/03/2024;Economia;PROGRAMAÇÃO;CALCULADORA;https://gauchazh.clicrbs.com.br/economia/noticia/2024/03/qual-o-prazo-para-declarar-o-imposto-de-renda-em-2024-cltczh42y00150161upq81xrk.html;Qual o prazo para declarar o Imposto de Renda em 2024?;;
05/03/2024;Porto Alegre;PROGRAMAÇÃO;INFOGRAFICO;https://gauchazh.clicrbs.com.br/porto-alegre/noticia/2024/03/atropelamento-e-a-principal-causa-de-mortes-no-transito-de-porto-alegre-e-maior-parte-das-vitimas-e-idosa-cltejp9m1004q0161jhlqjswy.html;Tipos de acidentes fatais de trânsito em Porto Alegre - 2019 a 2023;;
05/03/2024;Porto Alegre;PROGRAMAÇÃO;INFOGRAFICO;https://gauchazh.clicrbs.com.br/porto-alegre/noticia/2024/03/atropelamento-e-a-principal-causa-de-mortes-no-transito-de-porto-alegre-e-maior-parte-das-vitimas-e-idosa-cltejp9m1004q0161jhlqjswy.html;Faixa etária das vítimas de atropelamento em Porto Alegre - 2019 a 2023;;
05/03/2024;Porto Alegre;PROGRAMAÇÃO;MAPA INTERATIVO;https://gauchazh.clicrbs.com.br/porto-alegre/noticia/2024/03/mapa-as-ruas-e-avenidas-de-porto-alegre-onde-aconteceram-acidentes-com-morte-nos-ultimos-cinco-anos-clsnntg0100a2017xtcnzziew.html;MAPA: as ruas e avenidas de Porto Alegre onde aconteceram acidentes com morte nos últimos cinco anos;;
06/03/2024;Economia;PROGRAMAÇÃO;CALCULADORA;https://gauchazh.clicrbs.com.br/economia/noticia/2024/03/quem-precisa-declarar-o-imposto-de-renda-em-2024-cltg3oqzg005y0161e91qumpm.html;Quem precisa declarar o Imposto de Renda em 2024?;;
06/03/2024;Economia;PROGRAMAÇÃO;CALCULADORA;https://gauchazh.clicrbs.com.br/economia/noticia/2024/03/calendario-de-restituicao-do-imposto-de-renda-2024-e-divulgado-pela-receita-cltfz18ug003z01987pqus1qj.html;Calendário de restituição do Imposto de Renda 2024 é divulgado pela Receita;;
07/03/2024;Cultura;PROGRAMAÇÃO;BUSCADOR;https://gauchazh.clicrbs.com.br/cultura-e-lazer/cinema/noticia/2024/03/qual-foi-o-vencedor-do-oscar-de-melhor-filme-no-ano-em-que-voce-nasceu-clthas5zl002x0161vsf0wadk.html;Qual foi o vencedor do Oscar de melhor filme no ano em que você nasceu?;;
08/03/2024;Saúde;PROGRAMAÇÃO;SIMULADOR;https://gauchazh.clicrbs.com.br/saude/noticia/2024/03/cartilha-ajuda-a-identificar-atrasos-no-desenvolvimento-infantil-veja-habilidades-esperadas-para-cada-faixa-etaria-cltghg22i003j0161k255lcce.html;Cartilha ajuda a identificar atrasos no desenvolvimento infantil;;
11/03/2024;Saúde;PROGRAMAÇÃO;SIMULADOR;https://gauchazh.clicrbs.com.br/saude/noticia/2024/03/ferramenta-interativa-mostra-os-sinais-esperados-de-desenvolvimento-da-crianca-em-cada-idade-consulte-cltn827j80053014ak8hkhl58.html;"Ferramenta interativa mostra os sinais esperados de desenvolvimento da criança em cada idade;";;
11/03/2024;Saúde;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/saude/noticia/2024/03/dificuldade-de-concentracao-e-falta-de-controle-saiba-como-tratar-o-disturbio-do-jogo-dependencia-reconhecida-pela-oms-cltnbpuqs0076014aaceytgk8.html;Saiba como tratar o distúrbio do jogo, dependência reconhecida pela OMS;;
11/03/2024;Saúde;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/saude/noticia/2024/03/quiz-descubra-se-voce-esta-passando-dos-limites-do-tempo-gasto-em-jogos-online-cltncqclr006r017rbab4ex0x.html;Descubra se você está passando dos limites do tempo gasto em jogos online;;
15/03/2024;Economia;PROGRAMAÇÃO;CALCULADORA;https://gauchazh.clicrbs.com.br/economia/noticia/2024/03/mei-precisa-declarar-imposto-de-renda-calculadora-ajuda-a-responder-cltn06618001s017r5qxa6xv7.html#:~:text=15%2F03%2F2024%20%2D%2004h00min&text=O%20Microempreendedor%20Individual%20(MEI)%20n%C3%A3o,nos%20crit%C3%A9rios%20para%20esta%20obrigatoriedade.;MEI precisa declarar Imposto de Renda?;;
15/03/2024;Esporte;PROGRAMAÇÃO;SIMULADOR;https://gauchazh.clicrbs.com.br/esportes/noticia/2024/03/com-o-fechamento-da-janela-monte-as-escalacoes-ideais-de-gremio-e-inter-cltrroiiz00dw017rgoh3d7dk.html;Monte as escalações ideais de Grêmio e Inter;;
25/03/2024;Porto Alegre;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/porto-alegre/noticia/2024/03/quiz-o-quao-porto-alegrense-tu-es-clu70gxi90022019m9edlxv0u.html;O quão porto-alegrense tu és?;;
08/04/2024;Educação;PROGRAMAÇÃO;BUSCADOR;https://gauchazh.clicrbs.com.br/educacao/ensino-superior/noticia/2024/04/rs-tem-o-maior-numero-de-instituicoes-da-historia-com-nota-maxima-em-avaliacao-do-mec-saiba-quais-clurf1gco0082012js1mbp8lo.html;RS tem o maior número de instituições da história com nota máxima em avaliação do MEC;;
08/04/2024;Educação;PROGRAMAÇÃO;BUSCADOR;https://gauchazh.clicrbs.com.br/educacao/ensino-superior/noticia/2024/04/veja-em-buscador-como-se-saiu-cada-instituicao-do-rs-em-avaliacao-do-mec-clurh153700e7013fozh94b2a.html;Veja em buscador como se saiu cada instituição do RS em avaliação do MEC;;
11/04/2024;Saúde;PROGRAMAÇÃO;SIMULADOR;https://gauchazh.clicrbs.com.br/saude/noticia/2024/04/simulador-veja-os-sinais-de-alerta-para-a-dengue-e-qual-a-sua-classificacao-de-risco-em-caso-de-suspeita-cluvk5js701m2013fjpbaz2p6.html;Veja os sinais de alerta para a dengue e qual a sua classificação de risco em caso de suspeita;;
12/04/2024;Esporte;PROGRAMAÇÃO;INFOGRAFICO;https://gauchazh.clicrbs.com.br/esportes/brasileirao/noticia/2024/04/quem-briga-por-titulo-libertadores-sul-americana-e-contra-o-rebaixamento-no-brasileirao-cluwlu9v801qx012jzncd20uk.html;Quem briga por título, Libertadores, Sul-Americana e contra o rebaixamento no Brasileirão;;
12/04/2024;Saúde;PROGRAMAÇÃO;SIMULADOR;https://gauchazh.clicrbs.com.br/saude/noticia/2024/04/recorde-de-mortes-e-casos-de-dengue-gera-alerta-conheca-causas-sintomas-medidas-de-prevencao-e-testes-possiveis-clux5gszo023j012je0uno5dw.html;"Recorde de mortes e casos de dengue gera alerta; conheça causas, sintomas, medidas de prevenção e testes possíveis";;
19/04/2024;Comportamento;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/comportamento/noticia/2024/04/quiz-faz-o-teste-e-descobre-em-qual-perfil-de-gaucho-tu-te-encaixas-clv5ou2od01pg013wucqiuui2.html;Quiz: faz o teste e descobre em qual perfil de gaúcho tu te encaixas;;
20/04/2024;Saúde;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/saude/noticia/2024/04/quiz-saiba-se-voce-e-matutino-vespertino-ou-intermediario-clv76x79g02c9013wij2jwkxl.html;Quiz: saiba se você é matutino, vespertino ou intermediário;;
23/04/2024;Educação;PROGRAMAÇÃO;BUSCADOR;https://gauchazh.clicrbs.com.br/educacao/ensino-superior/noticia/2024/04/inep-altera-calculo-e-ufrgs-e-considerada-a-melhor-universidade-federal-do-pais-clvcuie0n00be013vv9uuw011.html;Inep altera cálculo e UFRGS é considerada a melhor universidade federal do país;;
24/04/2024;Comportamento;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/comportamento/noticia/2024/04/quem-voce-e-no-churrasco-responda-o-quiz-e-descubra-clve7m6hi001t01g30ncbpc5v.html;Quem você é no churrasco? Responda o quiz e descubra;;
24/04/2024;Saúde;PROGRAMAÇÃO;INFOGRAFICO;https://gauchazh.clicrbs.com.br/saude/noticia/2024/04/pela-primeira-vez-na-historia-rs-ultrapassa-cem-mortes-por-dengue-no-mesmo-ano-clveb95h300rh013v3f9ca3hh.html;Pela primeira vez na história, RS ultrapassa cem mortes por dengue no mesmo ano;;
26/04/2024;Esporte;PROGRAMAÇÃO;SIMULADOR;https://gauchazh.clicrbs.com.br/esportes/brasileirao/noticia/2024/04/simulador-do-brasileirao-2024-clvfbduoe00y8013vathczqbu.html;Simulador do Brasileirão 2024;;
01/05/2024;Esporte;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/esportes/automobilismo/noticia/2024/05/o-que-voce-sabe-sobre-a-carreira-de-ayrton-senna-faca-o-quiz-e-descubra-clvo6c7el002e01bfiqemtkpc.html;O que você sabe sobre a carreira de Ayrton Senna? Faça o quiz e descubra;;
02/05/2024;Cultura;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/cultura-e-lazer/musica/noticia/2024/05/quiz-voce-sabe-tudo-sobre-a-madonna-teste-seus-conhecimentos-clvplsdcr019y014a51y4k67x.html;Quiz: você sabe tudo sobre a Madonna? Teste seus conhecimentos;;
03/05/2024;Porto Alegre;PROGRAMAÇÃO;MAPA INTERATIVO;https://gauchazh.clicrbs.com.br/porto-alegre/noticia/2024/05/hidrologos-pedem-que-porto-alegre-prepare-evacuacao-veja-como-seria-inundacao-clvqsldrv022l011w51s0vgfk.html;"Hidrólogos pedem que Porto Alegre prepare evacuação; veja como seria inundação";;
07/05/2024;Trânsito;PROGRAMAÇÃO;MAPA INTERATIVO;https://gauchazh.clicrbs.com.br/transito/noticia/2024/05/mapa-como-transitar-entre-porto-alegre-e-cidades-da-regiao-metropolitana-clvvfyi2a007p0152odm00qyy.html;MAPA: como transitar entre Porto Alegre e cidades da Região Metropolitana;;
07/05/2024;Geral;PROGRAMAÇÃO;MAPA INTERATIVO;https://gauchazh.clicrbs.com.br/geral/noticia/2024/05/saiba-quais-areas-devem-ser-evacuadas-por-inundacao-em-pelotas-clvwjivxn003u0152p6w3m6ws.html;Saiba quais áreas devem ser evacuadas por inundação em Pelotas;;
07/05/2024;Geral;PROGRAMAÇÃO;MAPA INTERATIVO;https://gauchazh.clicrbs.com.br/geral/noticia/2024/05/a-via-crucis-de-seis-horas-a-mais-do-que-o-usual-para-viajar-dos-vales-ate-porto-alegre-clvwv80is004y01520h5fmquw.html;A via-crúcis de seis horas a mais do que o usual para viajar dos vales até Porto Alegre;;
08/05/2024;Esporte;PROGRAMAÇÃO;GALERIA;https://gauchazh.clicrbs.com.br/esportes/gremio/noticia/2024/05/fotos-arena-do-gremio-e-entorno-antes-e-depois-da-enchente-clvxwyjwj00h2011hn3xbnsxr.html;FOTOS: Arena do Grêmio e entorno antes e depois da enchente;;
08/05/2024;Esporte;PROGRAMAÇÃO;GALERIA;https://gauchazh.clicrbs.com.br/esportes/inter/noticia/2024/05/fotos-beira-rio-e-entorno-antes-e-depois-da-enchente-clvxxw6st00bj0152270tfq3j.html;FOTOS: Beira-Rio e entorno antes e depois da enchente;;
08/05/2024;Porto Alegre;PROGRAMAÇÃO;MAPA INTERATIVO;https://gauchazh.clicrbs.com.br/porto-alegre/noticia/2024/05/mapa-veja-onde-estao-os-bloqueios-e-quais-sao-as-principais-vias-livres-em-porto-alegre-clvwunzks004p0152sy5mdr8n.html;MAPA: veja onde estão os bloqueios e quais são as principais vias livres em Porto Alegre;;
10/05/2024;Geral;PROGRAMAÇÃO;INFOGRAFICO;https://gauchazh.clicrbs.com.br/geral/noticia/2024/05/em-grafico-veja-como-foi-o-avanco-do-guaiba-sobre-porto-alegre-clw0tuxpj00lb011hvcc9dsdd.html;Em gráfico, veja como foi o avanço do Guaíba sobre Porto Alegre;;
14/05/2024;Esporte;PROGRAMAÇÃO;GALERIA;https://gauchazh.clicrbs.com.br/esportes/inter/noticia/2024/05/grafico-a-inundacao-do-beira-rio-em-tres-momentos-clw6pevqa0014014euytwyual.html;GRÁFICO: a inundação do Beira-Rio em três momentos;;
14/05/2024;Esporte;PROGRAMAÇÃO;GALERIA;https://gauchazh.clicrbs.com.br/esportes/gremio/noticia/2024/05/grafico-a-inundacao-da-arena-do-gremio-em-tres-momentos-clw6pt1ll001d01485qojh327.html;GRÁFICO: a inundação da Arena do Grêmio em três momentos;;
15/05/2024;Porto Alegre;PROGRAMAÇÃO;INFOGRAFICO;https://gauchazh.clicrbs.com.br/porto-alegre/noticia/2024/05/entenda-o-que-sao-casas-de-bombas-estacoes-de-tratamento-e-de-bombeamento-de-agua-clw834n3q00ar0148am9znldr.html;Entenda o que são casas de bombas, estações de tratamento e de bombeamento de água;;
15/05/2024;Porto Alegre;PROGRAMAÇÃO;INFOGRAFICO;https://gauchazh.clicrbs.com.br/porto-alegre/noticia/2024/05/apos-12-dias-estacao-de-tratamento-de-agua-do-moinhos-de-vento-e-religada-clw83ee1400bj014ee63gi1ho.html;Após 12 dias, estação de tratamento de água do Moinhos de Vento é religada;;
17/05/2024;Educação;PROGRAMAÇÃO;MAPA INTERATIVO;https://gauchazh.clicrbs.com.br/educacao/noticia/2024/05/11-das-20-melhores-taxas-de-alfabetizacao-do-pais-sao-de-cidades-gauchas-confira-o-ranking-clwb2agp700ko01482ov5pa38.html;"11 das 20 melhores taxas de alfabetização do país são de cidades gaúchas; confira o ranking";;
22/05/2024;Porto Alegre;PROGRAMAÇÃO;INFOGRAFICO;https://gauchazh.clicrbs.com.br/porto-alegre/noticia/2024/05/o-que-diz-o-diretor-geral-do-dmae-sobre-bomba-flutuante-no-humaita-e-canos-para-atravessar-a-freeway-clwi8ieco00b2012wzsqsjd8j.html;O que diz o diretor-geral do Dmae sobre bomba flutuante no Humaitá e canos para atravessar a freeway;;
23/05/2024;Porto Alegre;PROGRAMAÇÃO;INFOGRAFICO;https://gauchazh.clicrbs.com.br/porto-alegre/noticia/2024/05/casa-de-bombas-do-parque-marinha-volta-a-funcionar-12-seguem-inativas-em-porto-alegre-clwjyjc6v003j012wet1hr5dj.html;"Casa de bombas do Parque Marinha volta a funcionar; 12 seguem inativas em Porto Alegre";;
31/05/2024;Esporte;PROGRAMAÇÃO;INFOGRAFICO;https://gauchazh.clicrbs.com.br/esportes/noticia/2024/05/infografico-o-caminho-que-borussia-dortmund-e-real-madrid-fizeram-ate-a-final-da-champions-league-clws9n5gr00qa01464ggrlvuc.html;INFOGRÁFICO: o caminho que Borussia Dortmund e Real Madrid fizeram até a final da Champions League;;
17/06/2024;Esporte;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/esportes/noticia/2024/06/voce-sabe-quais-foram-os-campeoes-e-vices-de-todas-as-eurocopas-faca-o-teste-e-descubra-clxccjzok00m7014478mk0fiz.html;Você sabe quais foram os campeões e vices de todas as Eurocopas? Faça o teste e descubra;;
19/06/2024;Esporte;PROGRAMAÇÃO;SIMULADOR;https://gauchazh.clicrbs.com.br/esportes/gauchao/noticia/2024/02/escale-inter-e-gremio-nos-ultimos-10-gre-nais-que-decidiram-o-gauchao-clsxgubpw006d017y22zzvke9.html;Escale Inter e Grêmio nos últimos 10 Gre-Nais que decidiram o Gauchão;;
21/06/2024;Esporte;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/esportes/noticia/2024/06/quiz-que-gre-nal-e-esse-clxnquh8x00gc013ymr4zv0dt.html;QUIZ: que Gre-Nal é esse?;;
21/06/2024;Esporte;PROGRAMAÇÃO;SIMULADOR;https://gauchazh.clicrbs.com.br/esportes/inter/noticia/2024/06/escale-o-time-do-inter-para-o-gre-nal-442-clxp3ernp01qy012eggvj0eh0.html;Escale o time do Inter para o Gre-Nal 442;;
21/06/2024;Esporte;PROGRAMAÇÃO;SIMULADOR;https://gauchazh.clicrbs.com.br/esportes/gremio/noticia/2024/06/escale-o-time-do-gremio-para-o-gre-nal-442-clxp2vf6800ub013yessgdwg1.html;Escale o time do Grêmio para o Gre-Nal 442;;
21/06/2024;Esporte;PROGRAMAÇÃO;SIMULADOR;https://gauchazh.clicrbs.com.br/esportes/noticia/2024/06/escale-a-selecao-brasileira-para-a-disputa-da-copa-america-clxn7b19a010e012eofrhhvhq.html;Escale a Seleção Brasileira para a disputa da Copa América;;
26/06/2024;Esporte;PROGRAMAÇÃO;MAPA INTERATIVO;https://gauchazh.clicrbs.com.br/esportes/olimpiada/noticia/2024/06/da-torre-eiffel-ao-taiti-veja-os-locais-de-competicoes-dos-jogos-olimpicos-de-paris-clxuu9ogv004l015mdn7xued3.html;Da Torre Eiffel ao Taiti: veja os locais de competições dos Jogos Olímpicos de Paris;;
26/06/2024;Esporte;PROGRAMAÇÃO;MAPA INTERATIVO;https://gauchazh.clicrbs.com.br/esportes/olimpiada/noticia/2024/06/rs-e-o-terceiro-estado-que-mais-rendeu-medalhas-ao-brasil-nas-olimpiadas-veja-grafico-clxui5gie00hz015mdb9zfifd.html;"RS é o terceiro Estado que mais rendeu medalhas ao Brasil nas Olimpíadas; veja gráfico";;
26/06/2024;Esporte;PROGRAMAÇÃO;INFOGRAFICO;https://gauchazh.clicrbs.com.br/esportes/olimpiada/noticia/2024/06/corrida-do-ouro-veja-os-paises-que-mais-acumulam-medalhas-douradas-ao-longo-de-todas-as-olimpiadas-clxukflde00j4015mar4nm7od.html;Corrida do ouro: veja os países que mais acumulam medalhas douradas ao longo de todas as Olimpíadas;;
26/06/2024;Cultura;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/cultura-e-lazer/cinema/noticia/2024/06/qual-emocao-de-divertida-mente-2-voce-seria-faca-o-teste-e-descubra-clxtaxuja0062015mmkc0ys2q.html;"Qual emoção de ""Divertida Mente 2"" você seria? Faça o teste e descubra";;
08/07/2024;Saúde;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/saude/noticia/2024/07/quiz-como-esta-a-sua-saude-diante-do-seu-momento-financeiro-clyda4u1g005y01616qrg9qga.html;Quiz: como está a sua saúde diante do seu momento financeiro?;;
08/07/2024;Saúde;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/saude/noticia/2024/07/insonia-ansiedade-tristeza-e-vergonha-como-o-endividamento-impacta-na-saude-mental-do-brasileiro-clyd4rx0l003r0161qn4dd5zu.html;Insônia, ansiedade, tristeza e vergonha: como o endividamento impacta na saúde mental do brasileiro;;
09/07/2024;Esporte;PROGRAMAÇÃO;INFOGRAFICO;https://gauchazh.clicrbs.com.br/esportes/inter/noticia/2024/07/relembre-como-ficou-o-beira-rio-com-a-enchente-e-o-processo-de-recuperacao-clyei7y76002k015e1n3e22mn.html;Relembre como ficou o Beira-Rio com a enchente e o processo de recuperação;;
15/07/2024;Educação;PROGRAMAÇÃO;MAPA INTERATIVO;https://gauchazh.clicrbs.com.br/educacao/educacao-basica/noticia/2024/07/vinculo-com-a-comunidade-investimento-e-heranca-germanica-garantem-sucesso-de-westfalia-na-alfabetizacao-clync46h6000o011rb79uhc8u.html;Vínculo com a comunidade, investimento e herança germânica garantem sucesso de Westfália na alfabetização;;
